level|power|protection|dexterity|weight|skill																		
6	1	1	1	1	1													
7	5	5	4	5	5													
8	15	9	8	9	10													
9	35	20	18	25	30													
10	60	40	35	45	50													
11	100	65	55	75	90													
12	150	95	80	100	120													
13	220	130	110	150	180													
14	300	165	150	210	240													
15	400	225	190	280	315													
16	500	275	240	350	400													
17	640	335	305	435	495													
18	780	405	365	520	605													
19	950	490	430	640	730													
20	1100	575	505	750	870													
21	1350	665	580	860	1020													
22	1500	770	670	1030	1200													
23	1800	890	775	1180	1350													
24	2100	1005	870	1355	1555													
25	2400	1140	925	1535	1700													
26	2700	1275	1000	1725	2000													
27	3000	1425	1225	1925	2200													
28	3500	1580	1350	2100	2500													
29	3800	1745	1495	2405	2820													
30	4300	1920	1640	2555	3120													
31	4700	2105	1795	2900	3400													
32	5200	2305	1960	3200	3700													
33	5785	2515	2125	3500	4100													
34	6300	2730	2300	3800	4500													
35	7000	2950	2500	4150	4900													
36	7500	3190	2695	4455	5300													
37	8100	3445	2895	4800	5700													
38	8900	3700	3105	5250	6200													
39	9500	3970	3325	5600	6700													
40	10300	4250	3560	6055	7200													
41	11100	4540	3800	6455	7750													
42	12000	4840	4045	6900	8325													
43	12800	5150	4295	7400	8905													
44	13700	5480	4560	7900	9400													
45	14600	5800	4835	8355	10115													
46	15600	6155	5120	8900	10755													
47	16600	6515	5415	9400	11425													
48	17700	6800	5715	10000	12125													
49	18800	7200	6025	10600	12800													
50	20000	7600	6355	11195	13555													
51	21000	8075	6675	11800	14350													
52	22200	8500	7010	12400	15100													
53	23500	8900	7360	13100	15900													
54	24800	9300	7715	13800	16800													
55	26200	9800	8085	14500	17700													
56	27500	10200	8455	15200	18500													
57	29000	10700	8850	16000	19500													
58	30400	11200	9245	16625	20500													
59	32000	11750	9650	17500	21400													
60	33490	12300	10055	18300	22400													
61	35100	12800	10500	19100	23400													
62	36750	13355	10905	20525	24500
63	38450	13900	11355	20915	25600													
64	40200	14500	11900	21805	26700													
65	41995	15085	12300	22725	27800													
66	43840	15600	12800	23660	29000													
67	45730	16300	13255	24625	30200													
68	47675	16900	13800	25610	31500													
69	49665	17555	14255	26615	32770													
70	51710	18210	14800	27645	34065													
71	53805	18875	15300	28700	35390													
72	55950	19550	15855	29775	36745													
73	58145	20245	16395	30875	38130													
74	60395	20905	16960	32000	39545													
75	62700	21670	17525	33150	40995													
76	65055	22400	18105	34320	42475													
77	67460	23150	18655	35520	43985													
78	69925	23900	19305	36740	45530													
79	72445	24700	19915	37985	47105													
80	75015	25490	20555	39255	48715													
81	77645	26295	21200	40550	50355													
82	80330	27115	21800	41870	52025													
83	83070	27950	22450	43215	53730													
84	85865	28800	23155	44585	55470													
85	88720	29665	23900	45980	57245													
86	91635	30545	24525	47400	59050													
87	94605	31440	25225	48845	60890													
88	97635	32345	25935	50320	62760													
89	100720	33270	26655	51820	64670													
90	103870	34210	27395	53340	66610													
91	107075	35160	28135	54895	68585													
92	110345	36130	28900	56470	70600													
93	113670	37115	29700	58075	72645													
94	117060	38110	30445	59705	74725													
95	120510	39125	31245	61360	76845													
96	124025	40155	32045	63045	78995													
97	127600	41200	32855	64755	81185													
98	131235	42260	33685	66495	83405													
99	134935	43335	34515	68260	85670													
100	138700	44425	35375	70050	87965													
101	142530	45535	36235	71870	90295													
102	146420	46655	37115	73720	92665													
103	150380	47795	38005	75595	95075													
104	154400	48950	38900	77500	97520													
105	158490	50120	39810	79430	100000													
106	162645	51305	40730	81395	102520													
107	166865	52505	41665	83380	105075													
108	171150	53725	42610	85400	107670													
109	175505	54955	43570	87445	110300													
110	179925	56205	44540	89520	112970													
111	184415	57475	45520	91620	115680													
112	188970	58755	46515	93755	118430													
113	193600	60055	47520	95915	121215													
114	198295	61370	48535	98105	124040													
115	203060	62700	49570	100325	126905													
116	207890	64050	50610	102575	129810													
117	212795	65410	51665	104855	132755													
